"AFG";"004";"AFG";"2";"15362";"1";"163";"Afghanistan"
"AGO";"024";"ANG";"7";"15364";"8";"417";"Angola"
"ALB";"008";"ALB";"3";"14640";"3";"241";"Albania"
"AND";"020";"AND";"6";"19012";"7";"403";"Andorra"
"ARE";"784";"UAE";"225";"15503";"255";"8067";"United_Arab_Emirates"
"ARG";"032";"ARG";"9";"15366";"12";"603";"Argentina"
"ARM";"051";"ARM";"1";"20521";"13";"8926";"Armenia"
"ATG";"028";"ANT";"8";"15365";"11";"505";"Antigua_and_Barbuda"
"AUS";"036";"AUL";"10";"15367";"17";"714";"Australia"
"AUT";"040";"AUS";"11";"15368";"18";"718";"Austria"
"AZE";"031";"AZE";"52";"20522";"19";"9026";"Azerbaijan"
"BDI";"108";"BDI";"29";"15382";"43";"1159";"Burundi"
"BEL";"056";"BEL";"255";"15373";"27";"870";"Belgium"
"BEN";"204";"BEN";"53";"15375";"29";"875";"Benin"
"BFA";"854";"BKF";"233";"15381";"42";"8081";"Burkina_Faso"
"BGD";"050";"BGD";"16";"15371";"23";"810";"Bangladesh"
"BGR";"100";"BUL";"27";"15380";"41";"1145";"Bulgaria"
"BHR";"048";"BAH";"13";"15370";"21";"780";"Bahrain"
"BHS";"044";"BHA";"12";"15369";"20";"778";"Bahamas_The"
"BIH";"070";"BIH";"80";"25401";"34";"33958";"Bosnia_and_Herzegovina"
"BLR";"112";"BYE";"57";"16382";"26";"33237";"Belarus"
"BLZ";"084";"BZE";"23";"15374";"28";"871";"Belize"
"BOL";"068";"BOL";"19";"15377";"33";"331403";"Bolivia"
"BRA";"076";"BRA";"21";"52486";"37";"1070";"Brazil"
"BRB";"052";"BAR";"14";"15372";"24";"814";"Barbados"
"BTN";"064";"BHU";"18";"15376";"31";"897";"Bhutan"
"BWA";"072";"BOT";"20";"15378";"35";"1030";"Botswana"
"CAF";"140";"CAF";"37";"15387";"49";"1433";"Central_African_Republic"
"CAN";"124";"CAN";"33";"15385";"46";"1236";"Canada"
"CHE";"756";"SWI";"211";"15494";"237";"7558";"Switzerland"
"CHL";"152";"CHI";"40";"15389";"51";"1548";"Chile"
"CHN";"156";"CPR";"351";"15390";"53";"1556";"China"
"CIV";"384";"IVC";"107";"15396";"66";"4027";"Cote_dIvoire"
"CMR";"120";"CMR";"32";"15384";"45";"1229";"Cameroon"
"COD";"180";"ZAI";"250";"15513";"68";"8500";"Congo_Democratic_Republic_of_the"
"COG";"178";"PRC";"46";"15393";"59";"1811";"Congo_Republic_of_the"
"COK";"184";"CKI";"47";"15394";"60";"1850";"Cook_Islands"
"COL";"170";"COL";"44";"15391";"57";"1767";"Colombia"
"COM";"174";"COI";"45";"15392";"58";"1790";"Comoros"
"CPV";"132";"CVI";"35";"15386";"47";"1267";"Cape_Verde"
"CRI";"188";"COS";"48";"15395";"61";"1920";"Costa_Rica"
"CUB";"192";"CUB";"49";"15397";"63";"1997";"Cuba"
"CYP";"196";"CYP";"50";"15398";"64";"2080";"Cyprus"
"CZE";"203";"CEH";"167";"32174";"65";"33095";"Czech_Republic"
"DEU";"276";"GER";"79";"15414";"93";"3245";"Germany"
"DJI";"262";"DJI";"72";"15401";"70";"2346";"Djibouti"
"DMA";"212";"DMI";"55";"15402";"71";"2363";"Dominica"
"DNK";"208";"DEN";"54";"15400";"69";"2185";"Denmark"
"DOM";"214";"DOM";"56";"15403";"72";"2364";"Dominica"
"DZA";"012";"ALG";"4";"15363";"4";"259";"Algeria"
"ECU";"218";"ECU";"58";"15404";"73";"2485";"Ecuador"
"EGY";"818";"EGY";"59";"15405";"40765";"2503";"Egypt"
"ERI";"232";"ERI";"178";"2810";"77";"34927";"Eritrea"
"ESP";"724";"SPA";"203";"15488";"229";"7273";"Spain"
"EST";"233";"EST";"63";"15533";"78";"10672";"Estonia"
"ETH";"231";"ETH";"238";"15408";"79";"2676";"Ethiopia"
"FIN";"246";"FIN";"67";"15410";"84";"2905";"Finland"
"FJI";"242";"FIJ";"66";"15409";"83";"2895";"Fiji"
"FRA";"250";"FRA";"68";"15411";"85";"3081";"France"
"FSM";"583";"MIC";"145";"15518";"163";"4805";"Micronesia_Federated_States_of"
"GAB";"266";"GAB";"74";"15412";"89";"3161";"Gabon"
"GBR";"826";"UKM";"229";"15504";"256";"8068";"United_Kingdom"
"GEO";"268";"GEO";"73";"29137";"92";"33250";"Georgia"
"GHA";"288";"GHA";"81";"15415";"94";"3253";"Ghana"
"GIN";"324";"GUI";"90";"15419";"106";"3423";"Guinea"
"GMB";"270";"GAM";"75";"15413";"90";"3177";"Gambia_The"
"GNB";"624";"GBS";"175";"15420";"105";"3427";"Guinea-Bissau"
"GNQ";"226";"EQG";"61";"15407";"76";"2627";"Equatorial_Guinea"
"GRC";"300";"GRE";"84";"15416";"97";"3373";"Greece"
"GRD";"308";"GRN";"86";"15417";"99";"3384";"Grenada"
"GTM";"320";"GUA";"89";"15418";"103";"3418";"Guatemala"
"GUY";"328";"GUY";"91";"15421";"107";"3445";"Guyana"
"HND";"340";"HON";"95";"15423";"111";"3651";"Honduras"
"HRV";"191";"CRO";"98";"25066";"62";"33969";"Croatia"
"HTI";"332";"HAI";"93";"15422";"108";"3472";"Haiti"
"HUN";"348";"HUN";"97";"15424";"113";"3695";"Hungary"
"IDN";"360";"INS";"101";"15427";"116";"3840";"Indonesia"
"IND";"356";"IND";"100";"15426";"115";"3825";"India"
"IRL";"372";"IRE";"104";"15430";"119";"3948";"Ireland"
"IRN";"364";"IRA";"102";"15428";"117";"3940";"Iran"
"IRQ";"368";"IRQ";"103";"15429";"118";"3941";"Iraq"
"ISL";"352";"ICE";"99";"15425";"114";"3785";"Iceland"
"ISR";"376";"ISR";"105";"15431";"121";"3972";"Israel"
"ITA";"380";"ITA";"106";"15432";"122";"4026";"Italy"
"JAM";"388";"JAM";"109";"15433";"123";"4035";"Jamaica"
"JOR";"400";"JOR";"112";"15435";"130";"4053";"Jordan"
"JPN";"392";"JPN";"110";"15434";"126";"4039";"Japan"
"KAZ";"398";"KAZ";"108";"24383";"132";"11952";"Kazakhstan"
"KEN";"404";"KEN";"114";"15436";"133";"4086";"Kenya"
"KGZ";"417";"KYR";"113";"20523";"138";"33243";"Kyrgyzstan"
"KHM";"116";"CMB";"115";"15383";"44";"4073";"Cambodia"
"KIR";"296";"KIR";"83";"19023";"135";"3261";"Kiribati"
"KNA";"659";"STK";"188";"15477";"208";"8808";"Saint_Kitts_and_Nevis"
"KOR";"410";"ROC";"117";"15517";"202";"4116";"Korea_South"
"KWT";"414";"KUW";"118";"15437";"137";"4119";"Kuwait"
"LAO";"418";"LAO";"120";"15438";"139";"12076";"Laos"
"LBN";"422";"LEB";"121";"15439";"141";"4244";"Lebanon"
"LBR";"430";"LIR";"123";"15441";"144";"4307";"Liberia"
"LBY";"434";"LIB";"124";"15442";"145";"4312";"Libya"
"LCA";"662";"STL";"189";"15478";"209";"7349";"Saint_Lucia"
"LIE";"438";"LIE";"125";"19024";"146";"4315";"Liechtenstein"
"LKA";"144";"SRL";"38";"15489";"231";"7345";"Sri_Lanka"
"LSO";"426";"LES";"122";"15440";"142";"4284";"Lesotho"
"LTU";"440";"LIT";"126";"15532";"147";"12204";"Lithuania"
"LUX";"442";"LUX";"256";"15443";"148";"4471";"Luxembourg"
"LVA";"428";"LAT";"119";"15531";"140";"12103";"Latvia"
"MAR";"504";"MOR";"143";"15454";"169";"4940";"Morocco"
"MCO";"492";"MNC";"140";"19026";"166";"4904";"Monaco"
"MDA";"498";"MOL";"146";"20524";"165";"33245";"Moldova"
"MDG";"450";"MAG";"129";"15444";"150";"4510";"Madagascar"
"MDV";"462";"MDV";"132";"15447";"154";"4534";"Maldives"
"MEX";"484";"MEX";"138";"15452";"162";"4792";"Mexico"
"MHL";"584";"MAS";"127";"15519";"157";"4630";"Marshall_Islands"
"MKD";"807";"MCD";"154";"32263";"241";"35697";"Macedonia"
"MLI";"466";"MLI";"133";"15448";"155";"4540";"Mali"
"MLT";"470";"MAT";"134";"15449";"156";"4548";"Malta"
"MMR";"104";"MYA";"28";"15456";"171";"1155";"rce/Myanmar"
"MNE";"499";"MNE";"273";"72720";"2647";"49907";"Montenegro"
"MNG";"496";"MON";"141";"15453";"167";"4908";"Mongolia"
"MOZ";"508";"MOZ";"144";"15455";"170";"4964";"Mozambique"
"MRT";"478";"MAU";"136";"15450";"159";"4660";"Mauritania"
"MUS";"480";"MAR";"137";"15451";"160";"4662";"Mauritius"
"MWI";"454";"MLW";"130";"15445";"152";"4532";"Malawi"
"MYS";"458";"MAL";"131";"15446";"153";"4533";"Malaysia"
"NAM";"516";"NAM";"147";"15457";"172";"5063";"Namibia"
"NER";"562";"NER";"158";"15462";"181";"5181";"Niger"
"NGA";"566";"NIR";"159";"15463";"182";"5182";"Nigeria"
"NIC";"558";"NIC";"157";"15461";"180";"5171";"Nicaragua"
"NIU";"570";"NIU";"160";"19029";"183";"5202";"Niue"
"NLD";"528";"NET";"150";"15459";"177";"5142";"Netherlands"
"NOR";"578";"NOR";"162";"15464";"186";"5234";"Norway"
"NPL";"524";"NEP";"149";"15458";"175";"5124";"Nepal"
"NRU";"520";"NAU";"148";"19028";"173";"5093";"Nauru"
"NZL";"554";"NZE";"156";"15460";"179";"5164";"New_Zealand"
"OMN";"512";"OMA";"221";"15465";"187";"5345";"Oman"
"PAK";"586";"PAK";"165";"15466";"188";"5504";"Pakistan"
"PAN";"591";"PAN";"166";"15467";"191";"5524";"Panama"
"PER";"604";"PER";"170";"15470";"195";"5725";"Peru"
"PHL";"608";"PHI";"171";"15471";"196";"5783";"Philippines"
"PLW";"585";"TTP";"180";"3632";"189";"33221";"Palau"
"PNG";"598";"PNG";"168";"15468";"192";"5555";"Papua_New_Guinea"
"POL";"616";"POL";"173";"15472";"198";"6055";"Poland"
"PRK";"408";"DRK";"116";"15399";"67";"4115";"Korea_North"
"PRT";"620";"POR";"174";"15473";"199";"6124";"Portugal"
"PRY";"600";"PAR";"169";"15469";"194";"5560";"Paraguay"
"QAT";"634";"QAT";"179";"15474";"201";"6395";"Qatar"
"ROU";"642";"ROM";"183";"15475";"203";"6637";"Romania"
"RUS";"643";"RUS";"185";"19040";"204";"33240";"Russia"
"RWA";"646";"RWA";"184";"15476";"205";"6717";"Rwanda"
"SAU";"682";"SAU";"194";"15482";"215";"6822";"Saudi_Arabia"
"SDN";"736";"SUD";"206";"15490";"40764";"7497";"Sudan"
"SEN";"686";"SEN";"195";"15483";"217";"6970";"Senegal"
"SGP";"702";"SIN";"200";"19034";"222";"7077";"Singapore"
"SLB";"090";"SOI";"25";"15486";"225";"7230";"Solomon_Islands"
"SLE";"694";"SIL";"197";"15485";"221";"7057";"Sierra_Leone"
"SLV";"222";"ELS";"60";"15406";"75";"2508";"El_Salvador"
"SMR";"674";"SNM";"192";"19033";"213";"6778";"San_Marino"
"SOM";"706";"SOM";"201";"15487";"226";"7237";"Somalia"
"SRB";"688";"YUG";"272";"56448";"2648";"49909";"Serbia"
"STP";"678";"STP";"193";"15481";"214";"6790";"Sao_Tome_and_Principe"
"SUR";"740";"SUR";"207";"15491";"233";"7534";"Suriname"
"SVK";"703";"SLO";"199";"32083";"223";"33096";"Slovakia"
"SVN";"705";"SVN";"198";"25065";"224";"34123";"Slovenia"
"SWE";"752";"SWE";"210";"15493";"236";"7549";"Sweden"
"SWZ";"748";"SWA";"209";"15492";"235";"7547";"Swaziland"
"SYC";"690";"SEY";"196";"15484";"220";"7017";"Seychelles"
"SYR";"760";"SYR";"212";"15495";"238";"7576";"Syria"
"TCD";"148";"CHD";"39";"15388";"50";"1487";"Chad"
"TGO";"768";"TOG";"217";"15497";"243";"7801";"Togo"
"THA";"764";"THA";"216";"15496";"240";"7701";"Thailand"
"TJK";"762";"TAJ";"208";"20525";"239";"33246";"Tajikistan"
"TKL";"772";"TOK";"218";"19035";"244";"7802";"Tokelau"
"TKM";"795";"TUK";"213";"20526";"250";"15047";"Turkmenistan"
"TLS";"626";"TIM";"176";"40152";"242";"37893";"East_Timor"
"TON";"776";"TON";"219";"15498";"245";"7808";"Tonga"
"TTO";"780";"TRI";"220";"15499";"246";"7933";"Trinidad_and_Tobago"
"TUN";"788";"TUN";"222";"15500";"248";"8007";"Tunisia"
"TUR";"792";"TUR";"223";"15501";"249";"8013";"Turkey"
"TUV";"798";"TUV";"227";"19037";"252";"8025";"Tuvalu"
"TZA";"834";"URT";"215";"15505";"257";"7608";"Tanzania"
"UGA";"800";"UGA";"226";"15502";"253";"8038";"Uganda"
"UKR";"804";"UKR";"230";"16378";"254";"15070";"Ukraine"
"URY";"858";"URU";"234";"15507";"260";"8113";"Uruguay"
"USA";"840";"USA";"231";"15506";"259";"8114";"United_States"
"UZB";"860";"UZB";"235";"20527";"261";"15121";"Uzbekistan"
"VAT";"336";"HLS";"94";"19021";"110";"3645";"Holy_See_(Vatican_City)"
"VCT";"670";"STV";"191";"15479";"211";"7352";"Saint_Vincent_and_the_Grenadines"
"VEN";"862";"VEN";"236";"15509";"263";"8186";"Venezuela"
"VNM";"704";"VIE";"237";"15510";"264";"8227";"Vietnam"
"VUT";"548";"VAN";"155";"15508";"262";"5159";"Vanuatu"
"WSM";"882";"SAM";"244";"15480";"212";"6772";"Samoa"
"YEM";"887";"YEM";"249";"15511";"269";"8483";"Yemen"
"ZAF";"710";"SAF";"202";"15535";"227";"7252";"South_Africa"
"ZMB";"894";"ZAM";"251";"15514";"270";"8501";"Zambia"
"ZWE";"716";"ZIM";"181";"15515";"271";"8516";"Zimbabwe"
